City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
201,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
202,Asfi,MA,68.43,clear sky,32.2994,-9.2372,Hôtel Abda
203,San Quintin,MX,68.16,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
204,Cockburn Town,TC,80.55,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
205,Koryazhma,RU,61.54,scattered clouds,61.3143,47.1691,Guesthouse Nadezhda
206,Kijang,KR,65.93,clear sky,35.2442,129.2139,Samyang Beach Villa
207,Usinsk,RU,40.19,clear sky,65.9939,57.5281,Dobro Pozhalovaty
208,Maarianhamina,AX,49.86,few clouds,60.0973,19.9348,Park Alandia Hotel
210,Nanortalik,GL,40.55,few clouds,60.1432,-45.2371,Hotel Kap Farvel
211,Cherskiy,RU,39.45,overcast clouds,68.75,161.3,Gostinitsa
212,Yuanping,CN,67.37,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
214,Buchanan,LR,79.27,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
215,Skjervoy,NO,62.6,scattered clouds,70.0311,20.9714,Skjervøy fiskecamp AS
216,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
217,Lerwick,GB,51.8,few clouds,60.1545,-1.1494,The Lerwick Hotel
218,Shubarkuduk,KZ,65.37,clear sky,49.1447,56.4872,Sirius
219,Rocha,UY,48.94,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
220,Qui Nhon,VN,79.25,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
221,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
222,Wladyslawowo,PL,58.55,few clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
223,Bay Roberts,CA,44.51,overcast clouds,47.5999,-53.2648,Stonewall Inn
224,Vredendal,ZA,57.25,clear sky,-31.6683,18.5012,Tharrakamma Guest House
225,Yerofey Pavlovich,RU,45.23,overcast clouds,53.9667,121.9667,lounges and warm parking
226,Dasoguz,TM,73.35,clear sky,41.8363,59.9666,Hotel Erik
227,Northam,GB,61.66,few clouds,51.0333,-4.2167,Durrant House Hotel
228,Leningradskiy,RU,55.33,overcast clouds,69.3833,178.4167,Gostinitsa
229,Oltu,TR,60.55,overcast clouds,40.5498,42.0013,Oltu Öğretmenevi
230,Manono,CD,73.78,clear sky,-7.3,27.4167,Hotel hewa bora
231,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
232,Bontang,ID,78.87,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
233,Santa Cruz,BO,65.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
234,Severo-Kurilsk,RU,42.4,light rain,50.6789,156.125,Kak Doma
235,Rexburg,US,73.42,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
236,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
237,Tabou,CI,79.11,broken clouds,4.423,-7.3528,hotêl doufoulougou
238,Mezen,RU,60.49,few clouds,65.8522,44.24,Gostevoy Dom Everest
